"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","37.0","174.0","2.0","3.0","26.0","0.0","0.0","26.0"
"","low","37.0","174.0","2.0","3.0","26.0","0.0","0.0","26.0"
"Ollie Gordon II","MIA","49.4","203.5","1.2","3.9","27.7","0.1","0.2","34.8"
"","high","49.4","203.5","1.2","3.9","27.7","0.1","0.2","34.9"
"","low","49.4","203.5","1.2","3.9","27.7","0.1","0.2","34.9"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","34.4"
"","high","34.0","116.0","3.0","3.0","18.0","0.0","0.0","26.0"
"","low","34.0","116.0","3.0","3.0","18.0","0.0","0.0","26.0"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","32.5"
"","high","50.0","178.0","1.0","21.0","142.0","1.0","0.0","38.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.5"
"Sean Tucker","TB","38.8","163.6","2.2","1.5","10.2","0.0","0.1","32.1"
"","high","43.6","182.2","2.4","2.0","14.4","0.1","0.0","36.4"
"","low","34.0","145.0","2.0","1.0","6.0","0.0","0.3","19.5"
"Phil Mafah","DAL","31.6","137.2","1.5","4.2","32.3","0.1","0.1","30.9"
"","high","32.0","142.0","2.0","4.4","34.0","0.2","0.0","28.0"
"","low","31.2","132.4","1.1","4.0","30.7","0.0","0.1","23.2"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.5","0.4","0.1","27.6"
"","high","9.3","39.6","0.3","11.3","83.5","0.4","0.1","28.1"
"","low","9.3","39.6","0.3","11.3","83.5","0.4","0.1","28.1"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","53.0","0.0","0.0","27.1"
"","high","17.0","88.0","1.0","7.0","53.0","0.0","0.0","19.0"
"","low","17.0","88.0","1.0","7.0","53.0","0.0","0.0","19.0"
"Jam Miller","NE","34.0","145.0","1.0","2.0","25.0","0.0","0.0","25.0"
"","high","34.0","145.0","1.0","2.0","25.0","0.0","0.0","15.0"
"","low","34.0","145.0","1.0","2.0","25.0","0.0","0.0","15.0"
"Hunter Luepke","DAL","13.4","56.5","0.4","8.6","61.6","0.4","0.1","25.0"
"","high","13.4","56.5","0.4","8.6","61.6","0.4","0.1","25.0"
"","low","13.4","56.5","0.4","8.6","61.6","0.4","0.1","25.0"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","23.6"
"","high","30.0","122.0","1.0","3.0","24.0","0.0","0.0","15.0"
"","low","30.0","122.0","1.0","3.0","24.0","0.0","0.0","15.0"
"Seth McGowan","IND","22.3","96.4","1.2","3.2","27.3","0.1","0.0","23.1"
"","high","32.0","141.0","2.0","4.3","29.6","0.2","0.0","22.2"
"","low","12.5","51.7","0.4","2.0","25.0","0.0","0.1","14.6"
"Israel Abanikanda","DAL","32.0","146.0","1.0","1.0","14.0","0.0","0.0","23.0"
"","high","32.0","146.0","1.0","1.0","14.0","0.0","0.0","13.0"
"","low","32.0","146.0","1.0","1.0","14.0","0.0","0.0","13.0"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","22.9"
"","high","31.0","130.0","1.0","2.0","19.0","0.0","0.0","14.0"
"","low","31.0","130.0","1.0","2.0","19.0","0.0","0.0","14.0"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"","high","35.0","161.0","1.0","0.0","0.0","0.0","0.0","13.0"
"","low","35.0","161.0","1.0","0.0","0.0","0.0","0.0","13.0"
"Kaytron Allen","WAS","23.6","110.9","0.7","3.0","25.7","0.1","0.0","21.5"
"","high","35.0","171.0","1.0","4.1","29.4","0.2","0.0","20.0"
