"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Rashid Shaheed","SEA","49.9","755.3","3.8","13.4","88.9","0.3","0.8","156.8"
"","high","57.0","864.0","4.0","13.8","91.0","0.5","0.6","153.9"
"","low","42.8","646.5","3.5","13.0","86.7","0.0","1.0","151.6"
"Romeo Doubs","NE","55.2","712.3","5.1","0.0","0.0","0.0","0.3","156.5"
"","high","58.0","759.0","5.3","0.0","0.0","0.0","0.0","190.1"
"","low","52.6","665.9","5.0","0.0","0.0","0.0","0.5","148.2"
"De'Zhaun Stribling","SF","51.3","751.6","4.5","1.5","6.5","0.0","1.2","151.5"
"","high","60.0","857.0","5.0","3.0","13.0","0.0","0.4","155.3"
"","low","42.7","646.1","3.9","0.0","0.0","0.0","2.0","139.0"
"Makai Lemon","PHI","52.8","738.2","4.4","1.5","6.5","0.0","1.3","150.8"
"","high","53.0","741.4","4.7","3.0","13.0","0.0","0.5","154.9"
"","low","52.5","735.0","4.0","0.0","0.0","0.0","2.0","138.8"
"Denzel Boston","CLE","57.4","741.5","3.5","1.0","5.0","0.0","1.3","150.4"
"","high","60.0","800.0","4.0","2.0","10.0","0.0","0.6","149.4"
"","low","54.9","683.0","3.0","0.0","0.0","0.0","2.0","143.3"
"Calvin Ridley","TEN","46.7","762.4","3.2","4.5","27.6","0.6","0.2","148.1"
"","high","50.0","847.0","3.4","6.1","32.1","1.0","0.0","146.7"
"","low","43.4","677.8","3.0","3.0","23.0","0.3","0.4","138.7"
"Jayden Higgins","HOU","51.8","634.1","5.2","0.0","0.0","0.0","0.2","146.1"
"","high","54.5","667.3","7.0","0.0","0.0","0.0","0.0","145.8"
"","low","49.0","601.0","3.5","0.0","0.0","0.0","0.5","138.8"
"Jerry Jeudy","CLE","54.7","747.4","2.9","0.5","2.0","0.0","0.7","145.4"
"","high","58.0","785.0","3.0","1.0","4.0","0.0","0.5","141.7"
"","low","51.4","709.8","2.8","0.0","0.0","0.0","1.0","140.7"
"Tre Tucker","LV","50.2","635.6","3.8","11.2","52.6","0.2","0.1","142.3"
"","high","52.0","658.3","5.0","12.0","57.3","0.3","0.0","139.8"
"","low","48.4","613.0","2.5","10.4","48.0","0.0","0.3","134.2"
"Tank Dell","HOU","50.0","630.7","3.8","10.2","48.8","0.1","0.2","141.2"
"","high","62.0","799.0","5.0","12.0","53.0","0.2","0.0","154.0"
"","low","38.0","462.4","2.7","8.4","44.7","0.0","0.4","117.7"
"Rashod Bateman","BAL","38.8","598.6","6.0","0.0","0.0","0.0","0.2","134.3"
"","high","40.0","614.3","8.0","0.0","0.0","0.0","0.0","136.8"
"","low","37.7","583.0","4.0","0.0","0.0","0.0","0.3","123.7"
"Jauan Jennings","MIN","48.7","557.7","5.2","0.0","0.0","0.0","0.7","134.1"
"","high","51.0","629.0","7.0","0.0","0.0","0.0","0.5","143.7"
"","low","46.5","486.3","3.3","0.0","0.0","0.0","1.0","116.9"
"Jalen McMillan","TB","46.6","607.3","3.9","4.7","26.8","0.1","0.2","133.8"
"","high","47.3","626.0","4.0","5.0","29.0","0.2","0.0","132.3"
"","low","46.0","588.7","3.9","4.4","24.6","0.0","0.4","124.6"
"Jalen Nailor","LV","43.7","591.2","4.5","2.0","8.5","0.0","0.2","130.5"
"","high","44.3","607.4","6.0","2.1","11.0","0.1","0.0","128.7"
"","low","43.0","575.0","3.0","2.0","6.0","0.0","0.4","123.6"
"Devaughn Vele","NO","47.3","567.9","3.7","0.0","0.0","0.0","0.2","125.8"
"","high","49.5","591.0","4.0","0.0","0.0","0.0","0.0","121.6"
"","low","45.0","544.7","3.4","0.0","0.0","0.0","0.4","121.3"
"Ja'Kobi Lane","BAL","37.8","569.3","5.2","1.5","8.5","0.0","0.7","125.7"
"","high","44.0","654.0","7.0","3.0","17.0","0.0","0.3","134.8"
"","low","31.5","484.7","3.5","0.0","0.0","0.0","1.0","106.7"
"Cooper Kupp","SEA","47.4","584.8","3.4","0.5","1.5","0.0","0.7","125.2"
"","high","57.0","698.0","4.0","1.0","3.0","0.0","0.3","132.4"
"","low","37.9","471.7","2.8","0.0","0.0","0.0","1.0","111.1"
