player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Christian Kirk,SF,WR,christiankirk,90.54,143.7,37.07,37.07,143.7,106.63,89,279,90.4,,,,0.0,,,,,False,False,,,
Tre' Harris,LAC,WR,treharris,89.75,89.75,89.75,89.75,89.75,0.0,90,281,89.8,,,,0.0,,,,,False,False,,,
Ryan Flournoy,DAL,WR,ryanflournoy,89.34,89.34,89.34,89.34,89.34,0.0,91,282,89.2,,,,0.0,,,,,False,False,,,
Jalen Tolbert,MIA,WR,jalentolbert,85.53,85.53,85.53,85.53,85.53,0.0,92,283,85.4,,,,0.0,,,,,False,False,,,
Isaac TeSlaa,DET,WR,isaacteslaa,85.04,97.4,72.67,72.67,97.4,24.73,93,284,85.1,,,,0.0,,,,,False,False,,,
Malik Benson,LV,WR,malikbenson,84.42,122.2,46.64,46.64,122.2,75.56,94,286,84.4,,,,0.0,,,,,False,False,,,
Ted Hurst III,TB,WR,tedhurst,83.44,103.4,62.87,62.87,103.4,40.53,95,287,83.2,,,,0.0,,,,,False,False,,,
Hollywood Brown,PHI,WR,hollywoodbrown,80.94,128.5,33.58,33.58,128.5,94.92,96,291,81.1,,,,0.0,,,,,False,False,,,
Zachariah Branch,ATL,WR,zachariahbranch,80.37,80.37,80.37,80.37,80.37,0.0,97,292,80.3,,,,0.0,,,,,False,False,,,
Andrei Iosivas,CIN,WR,andreiiosivas,79.54,101.71,57.28,57.28,101.71,44.43,98,293,79.5,,,,0.0,,,,,False,False,,,
Elic Ayomanor,TEN,WR,elicayomanor,79.48,135.0,23.76,23.76,135.0,111.24,99,294,79.5,,,,0.0,,,,,False,False,,,
Chimere Dike,TEN,WR,chimeredike,79.33,132.33,26.32,26.32,132.33,106.01,100,295,79.2,,,,0.0,,,,,False,False,,,
Keon Coleman,BUF,WR,keoncoleman,74.57,74.57,74.57,74.57,74.57,0.0,101,298,74.6,,,,0.0,,,,,False,False,,,
Jaylin Noel,HOU,WR,jaylinnoel,74.02,74.02,74.02,74.02,74.02,0.0,102,300,74.4,,,,0.0,,,,,False,False,,,
Pat Bryant,DEN,WR,patbryant,72.45,72.45,72.45,72.45,72.45,0.0,103,302,72.6,,,,0.0,,,,,False,False,,,
Joshua Palmer,BUF,WR,joshuapalmer,69.52,94.9,44.24,44.24,94.9,50.66,104,305,69.7,,,,0.0,,,,,False,False,,,
Olamide Zaccheaus,ATL,WR,olamidezaccheaus,69.32,107.0,31.73,31.73,107.0,75.27,105,306,69.5,,,,0.0,,,,,False,False,,,
Marvin Mims Jr.,DEN,WR,marvinmims,66.53,66.53,66.53,66.53,66.53,0.0,106,311,66.8,,,,0.0,,,,,False,False,,,
Jack Bech,LV,WR,jackbech,65.8,65.8,65.8,65.8,65.8,0.0,107,312,65.8,,,,0.0,,,,,False,False,,,
Ashton Dulin,IND,WR,ashtondulin,64.14,99.9,28.58,28.58,99.9,71.32,108,313,64.1,,,,0.0,,,,,False,False,,,
Darnell Mooney,NYG,WR,darnellmooney,63.85,63.85,63.85,63.85,63.85,0.0,109,314,63.6,,,,0.0,,,,,False,False,,,
KaVontae Turpin,DAL,WR,kavontaeturpin,63.17,63.17,63.17,63.17,63.17,0.0,110,315,63.5,,,,0.0,,,,,False,False,,,
DeMario Douglas,NE,WR,demariodouglas,61.53,61.53,61.53,61.53,61.53,0.0,111,319,61.3,,,,0.0,,,,,False,False,,,
Savion Williams,GB,WR,savionwilliams,59.68,59.68,59.68,59.68,59.68,0.0,112,321,59.8,,,,0.0,,,,,False,False,,,
Malachi Fields,NYG,WR,malachifields,59.55,59.55,59.55,59.55,59.55,0.0,113,322,59.7,,,,0.0,,,,,False,False,,,
Calvin Austin III,NYG,WR,calvinaustin,58.97,101.9,15.73,15.73,101.9,86.17,114,324,58.8,,,,0.0,,,,,False,False,,,
Jahdae Walker,CHI,WR,jahdaewalker,57.48,105.8,8.55,8.55,105.8,97.25,115,326,57.2,,,,0.0,,,,,False,False,,,
Tutu Atwell,MIA,WR,tutuatwell,57.3,57.3,57.3,57.3,57.3,0.0,116,327,57.0,,,,0.0,,,,,False,False,,,
Cedric Tillman,CLE,WR,cedrictillman,54.61,101.8,7.42,7.42,101.8,94.38,117,331,54.6,,,,0.0,,,,,False,False,,,
Demarcus Robinson,SF,WR,demarcusrobinson,53.35,96.7,9.51,9.51,96.7,87.19,118,334,53.1,,,,0.0,,,,,False,False,,,
Kendrick Bourne,ARI,WR,kendrickbourne,50.52,50.52,50.52,50.52,50.52,0.0,119,342,50.2,,,,0.0,,,,,False,False,,,
Luke McCaffrey,WAS,WR,lukemccaffrey,50.31,82.2,17.53,17.53,82.2,64.67,120,343,49.9,,,,0.0,,,,,False,False,,,
Theo Wease Jr.,MIA,WR,theowease,47.1,47.1,47.1,47.1,47.1,0.0,121,351,47.1,,,,0.0,,,,,False,False,,,
Kalif Raymond,CHI,WR,kalifraymond,46.81,46.81,46.81,46.81,46.81,0.0,122,353,46.4,,,,0.0,,,,,False,False,,,
Dyami Brown,WAS,WR,dyamibrown,46.79,46.79,46.79,46.79,46.79,0.0,123,354,46.7,,,,0.0,,,,,False,False,,,
Treylon Burks,WAS,WR,treylonburks,44.98,44.98,44.98,44.98,44.98,0.0,124,359,44.7,,,,0.0,,,,,False,False,,,
Devontez Walker,BAL,WR,devontezwalker,43.98,43.98,43.98,43.98,43.98,0.0,125,362,43.8,,,,0.0,,,,,False,False,,,
Cyrus Allen,KC,WR,cyrusallen,43.92,43.92,43.92,43.92,43.92,0.0,126,363,43.8,,,,0.0,,,,,False,False,,,
Isaiah Williams,NYJ,WR,isaiahwilliams,43.06,43.06,43.06,43.06,43.06,0.0,127,367,43.1,,,,0.0,,,,,False,False,,,
Bryce Lance,NO,WR,brycelance,39.43,39.43,39.43,39.43,39.43,0.0,128,371,39.5,,,,0.0,,,,,False,False,,,
Colbie Young,CIN,WR,colbieyoung,39.33,39.33,39.33,39.33,39.33,0.0,129,372,39.5,,,,0.0,,,,,False,False,,,
Zavion Thomas,CHI,WR,zavionthomas,34.85,34.85,34.85,34.85,34.85,0.0,130,381,34.9,,,,0.0,,,,,False,False,,,
Jaylin Lane,WAS,WR,jaylinlane,34.75,34.75,34.75,34.75,34.75,0.0,131,382,34.7,,,,0.0,,,,,False,False,,,
Xavier Hutchinson,HOU,WR,xavierhutchinson,33.57,33.57,33.57,33.57,33.57,0.0,132,386,33.6,,,,0.0,,,,,False,False,,,
Elijah Sarratt,BAL,WR,elijahsarratt,33.48,33.48,33.48,33.48,33.48,0.0,133,387,33.6,,,,0.0,,,,,False,False,,,
Kevin Coleman Jr.,MIA,WR,kevincoleman,32.72,32.72,32.72,32.72,32.72,0.0,134,389,32.8,,,,0.0,,,,,False,False,,,
Jordan Whittington,LAR,WR,jordanwhittington,31.13,31.13,31.13,31.13,31.13,0.0,135,395,31.2,,,,0.0,,,,,False,False,,,
Isaiah Bond,CLE,WR,isaiahbond,30.49,30.49,30.49,30.49,30.49,0.0,136,401,30.4,,,,0.0,,,,,False,False,,,
Konata Mumpfield,LAR,WR,konatamumpfield,28.97,28.97,28.97,28.97,28.97,0.0,137,406,29.2,,,,0.0,,,,,False,False,,,
Roman Wilson,PIT,WR,romanwilson,28.71,28.71,28.71,28.71,28.71,0.0,138,408,28.8,,,,0.0,,,,,False,False,,,
Skyler Bell,BUF,WR,skylerbell,28.35,28.35,28.35,28.35,28.35,0.0,139,410,28.4,,,,0.0,,,,,False,False,,,
Mack Hollins,NE,WR,mackhollins,28.06,28.06,28.06,28.06,28.06,0.0,140,412,28.0,,,,0.0,,,,,False,False,,,
Brenen Thompson,LAC,WR,brenenthompson,27.4,27.4,27.4,27.4,27.4,0.0,141,416,27.5,,,,0.0,,,,,False,False,,,
Odell Beckham Jr.,NYG,WR,odellbeckham,23.92,23.92,23.92,23.92,23.92,0.0,142,426,24.0,,,,0.0,,,,,False,False,,,
Kyle Williams,NE,WR,kylewilliams,22.38,22.38,22.38,22.38,22.38,0.0,143,433,22.1,,,,0.0,,,,,False,False,,,
Tez Johnson,TB,WR,tezjohnson,21.37,21.37,21.37,21.37,21.37,0.0,144,436,21.4,,,,0.0,,,,,False,False,,,
Jimmy Horn Jr.,CAR,WR,jimmyhorn,21.34,21.34,21.34,21.34,21.34,0.0,145,437,21.1,,,,0.0,,,,,False,False,,,
Jalen Royals,KC,WR,jalenroyals,18.02,18.02,18.02,18.02,18.02,0.0,146,447,18.3,,,,0.0,,,,,False,False,,,
KeAndre Lambert-Smith,LAC,WR,keandrelambertsmith,17.86,17.86,17.86,17.86,17.86,0.0,147,450,17.8,,,,0.0,,,,,False,False,,,
Nick Westbrook-Ikhine,IND,WR,nickwestbrookikhine,17.16,17.16,17.16,17.16,17.16,0.0,148,454,17.2,,,,0.0,,,,,False,False,,,
Mason Tipton,NO,WR,masontipton,16.46,16.46,16.46,16.46,16.46,0.0,149,457,16.7,,,,0.0,,,,,False,False,,,
Dont'e Thornton Jr.,LV,WR,dontethornton,15.9,15.9,15.9,15.9,15.9,0.0,150,460,16.0,,,,0.0,,,,,False,False,,,
Greg Dortch,DET,WR,gregdortch,14.47,14.47,14.47,14.47,14.47,0.0,151,466,14.1,,,,0.0,,,,,False,False,,,
Barion Brown,NO,WR,barionbrown,11.94,11.94,11.94,11.94,11.94,0.0,152,485,11.8,,,,0.0,,,,,False,False,,,
Bo Melton,GB,WR,bomelton,11.43,11.43,11.43,11.43,11.43,0.0,153,493,11.5,,,,0.0,,,,,False,False,,,
