player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Charlie Jones,CIN,WR,charliejones,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Dareke Young,LV,WR,darekeyoung,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
David Moore,CAR,WR,davidmoore,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Devin Duvernay,ARI,WR,devinduvernay,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Efton Chism III,NE,WR,eftonchism,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Gage Larvadain,CLE,WR,gagelarvadain,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Jacob Cowing,SF,WR,jacobcowing,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Jalen Brooks,ARI,WR,jalenbrooks,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Jeshaun Jones,MIN,WR,jeshaunjones,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Josh Cameron,JAC,WR,joshcameron,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Ke'Shawn Williams,CIN,WR,keshawnwilliams,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
LaJohntay Wester,BAL,WR,lajohntaywester,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Laquon Treadwell,IND,WR,laquontreadwell,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Mason Kinsey,TEN,WR,masonkinsey,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Michael Bandy,DEN,WR,michaelbandy,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Myles Price,MIN,WR,mylesprice,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Nikko Remigio,KC,WR,nikkoremigio,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Skyy Moore,GB,WR,skyymoore,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Trey McBride,ARI,TE,treymcbride,254.41,271.1,237.73,237.73,271.1,33.37,1,52,254.3,,,,0.0,21.0,1.0,254.0,,True,True,Dedicated TE,21,0.41
Brock Bowers,LV,TE,brockbowers,243.89,265.8,226.2,226.2,265.8,39.6,2,58,244.1,,,,0.0,29.0,2.0,244.0,,True,True,Dedicated TE,29,-0.11
Colston Loveland,CHI,TE,colstonloveland,211.65,235.7,193.0,193.0,235.7,42.7,3,77,211.4,,,,0.0,60.0,3.0,211.0,,True,True,Dedicated TE,57,0.65
Tyler Warren,IND,TE,tylerwarren,199.21,211.4,186.4,186.4,211.4,25.0,4,86,199.2,,,,0.0,71.0,4.0,202.0,,True,True,Dedicated TE,62,-2.79
Kyle Pitts Sr.,ATL,TE,kylepitts,195.59,216.9,180.2,180.2,216.9,36.7,5,93,195.7,,,,0.0,80.0,5.0,196.0,,True,True,Dedicated TE,68,-0.41
Harold Fannin Jr.,CLE,TE,haroldfannin,191.13,212.7,173.3,173.3,212.7,39.4,6,97,191.1,,,,0.0,85.0,6.0,191.0,,True,True,Dedicated TE,71,0.13
Sam LaPorta,DET,TE,samlaporta,184.39,205.3,164.7,164.7,205.3,40.6,7,105,184.1,,,,0.0,94.0,7.0,184.0,,True,True,Dedicated TE,76,0.39
Travis Kelce,KC,TE,traviskelce,181.67,195.5,173.1,173.1,195.5,22.4,8,107,182.1,,,,0.0,95.0,8.0,182.0,,True,True,Dedicated TE,77,-0.33
Dallas Goedert,PHI,TE,dallasgoedert,179.59,209.17,153.9,153.9,209.17,55.27,9,113,179.4,,,,0.0,99.0,9.0,179.0,,True,True,Dedicated TE,79,0.59
Tucker Kraft,GB,TE,tuckerkraft,178.68,213.24,153.8,153.8,213.24,59.44,10,115,178.4,,,,0.0,100.0,10.0,178.0,,True,True,Dedicated TE,80,0.68
George Kittle,SF,TE,georgekittle,175.44,198.5,151.9,151.9,198.5,46.6,11,122,175.7,,,,0.0,103.0,11.0,176.0,PUP,True,True,Dedicated TE,82,-0.56
Mark Andrews,BAL,TE,markandrews,167.15,185.5,152.3,152.3,185.5,33.2,12,135,167.2,,,,0.0,119.0,13.0,167.0,,True,True,Dedicated TE,84,0.15
Jake Ferguson,DAL,TE,jakeferguson,167.14,182.0,155.5,155.5,182.0,26.5,13,136,167.4,,,,0.0,118.0,12.0,167.0,,True,False,,,0.14
Isaiah Likely,NYG,TE,isaiahlikely,164.72,199.7,141.6,141.6,199.7,58.1,14,142,165.0,,,,0.0,122.0,14.0,165.0,,True,False,,,-0.28
Dalton Kincaid,BUF,TE,daltonkincaid,160.38,179.8,141.9,141.9,179.8,37.9,15,152,160.2,,,,0.0,127.0,15.0,160.0,,True,False,,,0.38
Juwan Johnson,NO,TE,juwanjohnson,154.94,180.8,137.31,137.31,180.8,43.49,16,165,154.7,,,,0.0,136.0,16.0,155.0,,True,False,,,-0.06
Brenton Strange,JAC,TE,brentonstrange,151.52,181.4,131.3,131.3,181.4,50.1,17,173,151.8,,,,0.0,149.0,17.0,152.0,,True,False,,,-0.48
Hunter Henry,NE,TE,hunterhenry,150.52,155.6,147.0,147.0,155.6,8.6,18,176,150.4,,,,0.0,150.0,18.0,150.0,,True,False,,,0.52
Dalton Schultz,HOU,TE,daltonschultz,148.67,163.4,132.32,132.32,163.4,31.08,19,181,148.6,,,,0.0,,,,,False,False,,,
T.J. Hockenson,MIN,TE,tjhockenson,140.75,165.64,122.8,122.8,165.64,42.84,20,200,140.6,,,,0.0,,,,,False,False,,,
Pat Freiermuth,PIT,TE,patfreiermuth,134.4,150.21,112.9,112.9,150.21,37.31,21,208,134.1,,,,0.0,,,,,False,False,,,
Greg Dulcich,MIA,TE,gregdulcich,133.4,148.6,115.9,115.9,148.6,32.7,22,212,133.5,,,,0.0,,,,,False,False,,,
Cade Otton,TB,TE,cadeotton,128.98,161.8,101.73,101.73,161.8,60.07,23,217,128.9,,,,0.0,,,,,False,False,,,
Kenyon Sadiq,NYJ,TE,kenyonsadiq,127.56,164.08,94.5,94.5,164.08,69.58,24,220,127.3,,,,0.0,,,,,False,False,,,
Chig Okonkwo,WAS,TE,chigokonkwo,126.38,135.0,117.0,117.0,135.0,18.0,25,223,126.2,,,,0.0,,,,,False,False,,,
AJ Barner,SEA,TE,ajbarner,124.59,146.4,108.57,108.57,146.4,37.83,26,231,124.4,,,,0.0,,,,,False,False,,,
Terrance Ferguson,LAR,TE,terranceferguson,117.38,136.33,96.4,96.4,136.33,39.93,27,237,117.4,,,,0.0,,,,,False,False,,,
Evan Engram,DEN,TE,evanengram,116.99,123.4,106.38,106.38,123.4,17.02,28,238,117.1,,,,0.0,,,,,False,False,,,
Gunnar Helm,TEN,TE,gunnarhelm,111.51,127.42,99.0,99.0,127.42,28.42,29,246,111.6,,,,0.0,,,,,False,False,,,
Oronde Gadsden II,LAC,TE,orondegadsden,109.32,141.5,75.47,75.47,141.5,66.03,30,247,109.2,,,,0.0,,,,,False,False,,,
Mike Gesicki,CIN,TE,mikegesicki,106.23,127.0,81.09,81.09,127.0,45.91,31,253,106.1,,,,0.0,,,,,False,False,,,
Darren Waller,CAR,TE,darrenwaller,102.28,128.35,65.3,65.3,128.35,63.05,32,256,102.5,,,,0.0,,,,,False,False,,,
Mason Taylor,NYJ,TE,masontaylor,100.35,128.1,65.75,65.75,128.1,62.35,33,257,100.6,,,,0.0,,,,,False,False,,,
David Njoku,LAC,TE,davidnjoku,100.22,119.67,77.3,77.3,119.67,42.37,34,258,100.1,,,,0.0,,,,,False,False,,,
Colby Parkinson,LAR,TE,colbyparkinson,92.35,119.9,73.15,73.15,119.9,46.75,35,277,92.5,,,,0.0,,,,,False,False,,,
Michael Mayer,LV,TE,michaelmayer,90.2,103.0,79.2,79.2,103.0,23.8,36,280,90.2,,,,0.0,,,,,False,False,,,
Dawson Knox,BUF,TE,dawsonknox,78.97,93.1,68.0,68.0,93.1,25.1,37,296,79.2,,,,0.0,,,,,False,False,,,
Theo Johnson,NYG,TE,theojohnson,76.07,102.0,60.3,60.3,102.0,41.7,38,297,75.9,,,,0.0,,,,,False,False,,,
Darnell Washington,PIT,TE,darnellwashington,74.41,84.7,65.3,65.3,84.7,19.4,39,299,74.1,,,,0.0,,,,,False,False,,,
Tyler Higbee,LAR,TE,tylerhigbee,71.15,113.9,38.34,38.34,113.9,75.56,40,303,71.2,,,,0.0,,,,,False,False,,,
Erick All Jr.,CIN,TE,erickall,68.56,77.2,60.43,60.43,77.2,16.77,41,307,68.8,,,,0.0,,,,,False,False,,,
Cole Kmet,CHI,TE,colekmet,66.61,90.4,53.62,53.62,90.4,36.78,42,310,66.8,,,,0.0,,,,,False,False,,,
Noah Fant,NO,TE,noahfant,63.15,98.1,30.24,30.24,98.1,67.86,43,316,63.2,,,,0.0,,,,,False,False,,,
Will Kacmarek,MIA,TE,willkacmarek,61.92,85.6,38.34,38.34,85.6,47.26,44,318,61.8,,,,0.0,,,,,False,False,,,
Elijah Arroyo,SEA,TE,elijaharroyo,58.61,62.12,54.4,54.4,62.12,7.72,45,325,58.4,,,,0.0,,,,,False,False,,,
Austin Hooper,ATL,TE,austinhooper,55.54,65.3,43.32,43.32,65.3,21.98,46,328,55.7,,,,0.0,,,,,False,False,,,
Charlie Kolar,LAC,TE,charliekolar,55.03,82.3,35.38,35.38,82.3,46.92,47,329,55.4,,,,0.0,,,,,False,False,,,
Daniel Bellinger,TEN,TE,danielbellinger,52.33,77.2,26.76,26.76,77.2,50.44,48,336,52.0,,,,0.0,,,,,False,False,,,
Josh Oliver,MIN,TE,josholiver,52.23,70.4,38.18,38.18,70.4,32.22,49,337,52.1,,,,0.0,,,,,False,False,,,
Brock Wright,DET,TE,brockwright,51.26,83.9,18.52,18.52,83.9,65.38,50,338,51.2,,,,0.0,,,,,False,False,,,
Noah Gray,KC,TE,noahgray,50.98,64.33,34.7,34.7,64.33,29.63,51,340,51.0,,,,0.0,,,,,False,False,,,
Eli Stowers,PHI,TE,elistowers,49.55,75.0,24.29,24.29,75.0,50.71,52,346,49.6,,,,0.0,,,,,False,False,,,
Tommy Tremble,CAR,TE,tommytremble,49.03,55.2,43.66,43.66,55.2,11.54,53,347,49.3,,,,0.0,,,,,False,False,,,
Adam Trautman,DEN,TE,adamtrautman,48.07,67.2,28.83,28.83,67.2,38.37,54,348,47.9,,,,0.0,,,,,False,False,,,
Jake Tonges,SF,TE,jaketonges,47.89,63.3,32.47,32.47,63.3,30.83,55,349,48.0,,,,0.0,,,,,False,False,,,
Luke Musgrave,GB,TE,lukemusgrave,47.15,66.9,16.44,16.44,66.9,50.46,56,350,47.2,,,,0.0,,,,,False,False,,,
Ja'Tavion Sanders,CAR,TE,jatavionsanders,46.34,53.1,41.73,41.73,53.1,11.37,57,355,46.6,,,,0.0,,,,,False,False,,,
Eli Raridon,NE,TE,eliraridon,45.88,57.3,35.25,35.25,57.3,22.05,58,356,46.2,,,,0.0,,,,,False,False,,,
Elijah Higgins,ARI,TE,elijahhiggins,45.2,49.6,41.31,41.31,49.6,8.29,59,357,45.4,,,,0.0,,,,,False,False,,,
Ben Sims,MIA,TE,bensims,45.16,74.4,15.13,15.13,74.4,59.27,60,358,44.9,,,,0.0,,,,,False,False,,,
Marlin Klein,HOU,TE,marlinklein,44.37,81.9,6.83,6.83,81.9,75.07,61,360,44.4,,,,0.0,,,,,False,False,,,
Davis Allen,LAR,TE,davisallen,44.03,68.1,19.17,19.17,68.1,48.93,62,361,43.8,,,,0.0,,,,,False,False,,,
John Bates,WAS,TE,johnbates,42.49,52.2,32.88,32.88,52.2,19.32,63,368,42.4,,,,0.0,,,,,False,False,,,
Jeremy Ruckert,NYJ,TE,jeremyruckert,42.13,58.6,25.47,25.47,58.6,33.13,64,369,41.9,,,,0.0,,,,,False,False,,,
Nate Boerkircher,JAC,TE,nateboerkircher,37.38,57.8,16.76,16.76,57.8,41.04,65,374,37.2,,,,0.0,,,,,False,False,,,
Connor Heyward,LV,TE,connorheyward,36.3,36.3,36.3,36.3,36.3,0.0,66,376,36.3,,,,0.0,,,,,False,False,,,
Drew Sample,CIN,TE,drewsample,33.92,39.13,28.8,28.8,39.13,10.33,67,385,33.9,,,,0.0,,,,,False,False,,,
Cade Stover,HOU,TE,cadestover,33.22,34.93,31.8,31.8,34.93,3.13,68,388,33.2,,,,0.0,,,,,False,False,,,
Nate Adkins,DEN,TE,nateadkins,31.54,44.8,18.68,18.68,44.8,26.12,69,392,31.7,,,,0.0,,,,,False,False,,,
Nick Vannett,SEA,TE,nickvannett,31.5,31.5,31.5,31.5,31.5,0.0,70,393,31.5,,,,0.0,,,,,False,False,,,
Jack Endries,CIN,TE,jackendries,31.3,31.3,31.3,31.3,31.3,0.0,71,394,31.3,,,,0.0,,,,,False,False,,,
Ben Sinnott,WAS,TE,bensinnott,30.94,35.3,26.27,26.27,35.3,9.03,72,396,30.9,,,,0.0,,,,,False,False,,,
Charlie Woerner,ATL,TE,charliewoerner,30.84,53.2,8.37,8.37,53.2,44.83,73,397,30.7,,,,0.0,,,,,False,False,,,
Zack Kuntz,DAL,TE,zackkuntz,30.8,30.8,30.8,30.8,30.8,0.0,74,398,30.8,,,,0.0,,,,,False,False,,,
Luke Schoonmaker,DAL,TE,lukeschoonmaker,30.75,34.3,27.6,27.6,34.3,6.7,75,399,30.9,,,,0.0,,,,,False,False,,,
Jackson Hawes,BUF,TE,jacksonhawes,30.41,35.1,26.21,26.21,35.1,8.89,76,402,30.6,,,,0.0,,,,,False,False,,,
Hayden Rucci,SF,TE,haydenrucci,29.8,29.8,29.8,29.8,29.8,0.0,77,403,29.8,,,,0.0,,,,,False,False,,,
Will Mallory,IND,TE,willmallory,29.5,29.5,29.5,29.5,29.5,0.0,78,404,29.5,,,,0.0,,,,,False,False,,,
Tanner Hudson,CIN,TE,tannerhudson,29.33,29.33,29.33,29.33,29.33,0.0,79,405,29.3,,,,0.0,,,,,False,False,,,
Rivaldo Fairweather,ARI,TE,rivaldofairweather,28.9,28.9,28.9,28.9,28.9,0.0,80,407,28.9,,,,0.0,,,,,False,False,,,
Grant Calcaterra,PHI,TE,grantcalcaterra,28.5,57.0,0.0,0.0,57.0,57.0,81,409,28.5,,,,0.0,,,,,False,False,,,
Bauer Sharp,TB,TE,bauersharp,28.3,28.3,28.3,28.3,28.3,0.0,82,411,28.3,,,,0.0,,,,,False,False,,,
Foster Moreau,HOU,TE,fostermoreau,27.67,36.2,19.04,19.04,36.2,17.16,83,413,27.6,,,,0.0,,,,,False,False,,,
Tanner Conner,NYG,TE,tannerconner,27.3,27.3,27.3,27.3,27.3,0.0,84,417,27.3,,,,0.0,,,,,False,False,,,
Mo Alie-Cox,IND,TE,moaliecox,27.29,27.29,27.29,27.29,27.29,0.0,85,418,27.4,,,,0.0,,,,,False,False,,,
Jared Wiley,KC,TE,jaredwiley,26.6,26.6,26.6,26.6,26.6,0.0,86,420,26.6,,,,0.0,,,,,False,False,,,
Thomas Fidone II,NYG,TE,thomasfidone,26.1,26.1,26.1,26.1,26.1,0.0,87,422,26.1,,,,0.0,,,,,False,False,,,
Seydou Traore,MIA,TE,seydoutraore,23.8,23.8,23.8,23.8,23.8,0.0,88,427,23.8,,,,0.0,,,,,False,False,,,
Durham Smythe,BAL,TE,durhamsmythe,23.2,23.2,23.2,23.2,23.2,0.0,89,430,23.5,,,,0.0,,,,,False,False,,,
Mitchell Evans,CAR,TE,mitchellevans,21.15,42.3,0.0,0.0,42.3,42.3,90,438,21.2,,,,0.0,,,,,False,False,,,
Payne Durham,TB,TE,paynedurham,20.48,23.1,17.66,17.66,23.1,5.44,91,440,20.5,,,,0.0,,,,,False,False,,,
Max Klare,LAR,TE,maxklare,20.46,30.7,10.22,10.22,30.7,20.48,92,441,20.3,,,,0.0,,,,,False,False,,,
Oscar Delp,NO,TE,oscardelp,18.02,18.02,18.02,18.02,18.02,0.0,93,447,18.0,,,,0.0,,,,,False,False,,,
Tanner Koziol,JAC,TE,tannerkoziol,17.98,27.1,9.37,9.37,27.1,17.73,94,449,18.1,,,,0.0,,,,,False,False,,,
Tip Reiman,ARI,TE,tipreiman,17.72,27.0,8.44,8.44,27.0,18.56,95,451,17.7,,,,0.0,,,,,False,False,,,
Sam Roush,CHI,TE,samroush,17.64,27.1,8.88,8.88,27.1,18.22,96,452,17.9,,,,0.0,,,,,False,False,,,
Devin Culp,TB,TE,devinculp,17.4,34.8,0.0,0.0,34.8,34.8,97,453,17.4,,,,0.0,,,,,False,False,,,
Ian Thomas,LV,TE,ianthomas,16.7,24.8,8.6,8.6,24.8,16.2,98,456,16.5,,,,0.0,,,,,False,False,,,
Josh Cuevas,BAL,TE,joshcuevas,15.94,23.7,8.68,8.68,23.7,15.02,99,459,16.2,,,,0.0,,,,,False,False,,,
Joe Royer,CLE,TE,joeroyer,15.84,15.84,15.84,15.84,15.84,0.0,100,461,16.2,,,,0.0,,,,,False,False,,,
Hunter Long,JAC,TE,hunterlong,15.5,31.0,0.0,0.0,31.0,31.0,101,462,15.5,,,,0.0,,,,,False,False,,,
Chris Manhertz,NYG,TE,chrismanhertz,14.06,23.5,4.03,4.03,23.5,19.47,102,469,13.8,,,,0.0,,,,,False,False,,,
Lucas Krull,DEN,TE,lucaskrull,13.45,26.9,0.0,0.0,26.9,26.9,103,472,13.5,,,,0.0,,,,,False,False,,,
Luke Farrell,SF,TE,lukefarrell,10.07,10.07,10.07,10.07,10.07,0.0,104,511,9.9,,,,0.0,,,,,False,False,,,
Justin Joly,DEN,TE,justinjoly,9.59,9.59,9.59,9.59,9.59,0.0,105,516,9.5,,,,0.0,,,,,False,False,,,
CJ Dippre,NE,TE,cjdippre,9.43,9.43,9.43,9.43,9.43,0.0,106,518,9.2,,,,0.0,,,,,False,False,,,
Brevyn Spann-Ford,DAL,TE,brevynspannford,9.37,9.37,9.37,9.37,9.37,0.0,107,519,9.4,,,,0.0,,,,,False,False,,,
Tyler Conklin,DET,TE,tylerconklin,9.29,9.29,9.29,9.29,9.29,0.0,108,521,8.9,,,,0.0,,,,,False,False,,,
Ko Kieft,TB,TE,kokieft,9.11,9.11,9.11,9.11,9.11,0.0,109,522,9.0,,,,0.0,,,,,False,False,,,
Drew Ogletree,IND,TE,drewogletree,9.03,9.03,9.03,9.03,9.03,0.0,110,523,8.8,,,,0.0,,,,,False,False,,,
Josh Whyle,GB,TE,joshwhyle,8.7,8.7,8.7,8.7,8.7,0.0,111,526,8.8,,,,0.0,,,,,False,False,,,
Eric Saubert,SEA,TE,ericsaubert,8.64,8.64,8.64,8.64,8.64,0.0,112,527,8.6,,,,0.0,,,,,False,False,,,
Johnny Mundt,PHI,TE,johnnymundt,8.24,8.24,8.24,8.24,8.24,0.0,113,532,8.2,,,,0.0,,,,,False,False,,,
Jack Stoll,CLE,TE,jackstoll,7.84,7.84,7.84,7.84,7.84,0.0,114,536,7.5,,,,0.0,,,,,False,False,,,
Blake Whiteheart,CLE,TE,blakewhiteheart,0.0,0.0,0.0,0.0,0.0,0.0,115,548,0.0,,,,0.0,,,,,False,False,,,
Cole Turner,MIA,TE,coleturner,0.0,0.0,0.0,0.0,0.0,0.0,115,548,0.0,,,,0.0,,,,,False,False,,,
Jelani Woods,NYJ,TE,jelaniwoods,0.0,0.0,0.0,0.0,0.0,0.0,115,548,0.0,,,,0.0,,,,,False,False,,,
Julian Hill,NE,TE,julianhill,0.0,0.0,0.0,0.0,0.0,0.0,115,548,0.0,,,,0.0,,,,,False,False,,,
Quintin Morris,JAC,TE,quintinmorris,0.0,0.0,0.0,0.0,0.0,0.0,115,548,0.0,,,,0.0,,,,,False,False,,,
Brandon Aubrey,DAL,K,brandonaubrey,196.24,198.91,193.89,193.89,198.91,5.01,1,91,153.0,42.23,76.0,player history with empirical shrinkage,0.0,169.0,1.0,153.0,,True,True,K,97,43.24
Jason Myers,SEA,K,jasonmyers,188.86,210.23,174.07,174.07,210.23,36.16,2,101,150.4,41.08,67.0,player history with empirical shrinkage,0.0,170.0,2.0,150.0,,True,True,K,98,38.86
Ka'imi Fairbairn,HOU,K,kaimifairbairn,181.03,195.67,167.89,167.89,195.67,27.79,3,111,144.1,40.17,80.0,player history with empirical shrinkage,0.0,171.0,3.0,144.0,,True,True,K,99,37.03
Cameron Dicker,LAC,K,camerondicker,174.31,177.18,169.8,169.8,177.18,7.38,4,123,143.7,38.76,77.0,player history with empirical shrinkage,0.0,172.0,4.0,144.0,,True,True,K,100,30.31
Cairo Santos,CHI,K,cairosantos,165.31,177.14,153.58,153.58,177.14,23.57,5,140,133.3,40.67,46.0,player history with empirical shrinkage,0.0,176.0,8.0,133.0,,True,True,K,103,32.31
Will Reichard,MIN,K,willreichard,164.16,176.73,152.4,152.4,176.73,24.33,6,144,130.7,40.83,57.0,player history with empirical shrinkage,0.0,182.0,14.0,131.0,,True,True,K,107,33.16
Jake Bates,DET,K,jakebates,163.28,175.99,152.26,152.26,175.99,23.74,7,146,135.9,39.67,53.0,player history with empirical shrinkage,0.0,174.0,6.0,136.0,,True,True,K,101,27.28
Chase McLaughlin,TB,K,chasemclaughlin,162.27,171.87,155.02,155.02,171.87,16.85,8,148,132.9,39.35,62.0,player history with empirical shrinkage,0.0,177.0,9.0,133.0,,True,True,K,104,29.27
Blake Grupe,IND,K,blakegrupe,161.53,184.55,144.79,144.79,184.55,39.77,9,149,133.4,39.28,56.0,player history with empirical shrinkage,0.0,175.0,7.0,133.0,,True,True,K,102,28.53
Cam Little,JAC,K,camlittle,159.35,168.0,151.19,151.19,168.0,16.81,10,155,131.5,39.6,57.0,player history with empirical shrinkage,0.0,181.0,13.0,131.0,,True,True,K,106,28.35
Eddy Pineiro,SF,K,eddypineiro,159.19,165.93,152.83,152.83,165.93,13.11,11,156,132.6,38.61,50.0,player history with empirical shrinkage,0.0,178.0,10.0,133.0,,True,True,K,105,26.19
Nick Folk,ATL,K,nickfolk,158.98,186.56,127.49,127.49,186.56,59.08,12,157,128.6,40.16,49.0,player history with empirical shrinkage,0.0,184.0,16.0,129.0,,True,True,K,108,29.98
Harrison Mevis,LAR,K,harrisonmevis,157.96,168.25,141.73,141.73,168.25,26.53,13,158,136.9,37.75,12.0,player history with empirical shrinkage,0.0,173.0,5.0,137.0,,True,False,,,20.96
Charlie Smyth,NO,K,charliesmyth,157.03,164.2,148.09,148.09,164.2,16.11,14,162,123.0,41.57,12.0,player history with empirical shrinkage,0.0,188.0,20.0,123.0,,True,False,,,34.03
Evan McPherson,CIN,K,evanmcpherson,154.36,160.76,146.39,146.39,160.76,14.37,15,166,128.7,39.23,41.0,player history with empirical shrinkage,0.0,183.0,15.0,129.0,,True,False,,,25.36
Harrison Butker,KC,K,harrisonbutker,152.47,161.78,144.62,144.62,161.78,17.16,16,168,131.9,36.54,54.0,player history with empirical shrinkage,0.0,180.0,12.0,132.0,,True,False,,,20.47
Trey Smack,GB,K,treysmack,152.38,156.88,147.78,147.78,156.88,9.09,17,169,126.9,38.85,0.0,2024-2025 NFL league average,0.0,186.0,18.0,127.0,,True,False,,,25.38
Wil Lutz,DEN,K,willutz,151.51,157.8,145.32,145.32,157.8,12.49,18,174,128.5,37.94,59.0,player history with empirical shrinkage,0.0,185.0,17.0,128.0,,True,False,,,23.51
Chris Boswell,PIT,K,chrisboswell,149.05,164.56,134.26,134.26,164.56,30.3,19,179,118.3,40.94,68.0,player history with empirical shrinkage,0.0,192.0,24.0,118.0,,True,False,,,31.05
Tyler Loop,BAL,K,tylerloop,147.3,152.69,140.05,140.05,152.69,12.64,20,183,132.1,35.39,30.0,player history with empirical shrinkage,0.0,179.0,11.0,132.0,,True,False,,,15.3
Jason Sanders,NYJ,K,jasonsanders,147.1,151.4,142.79,142.79,151.4,8.61,21,184,118.0,40.14,37.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Tyler Bass,BUF,K,tylerbass,146.2,148.56,143.17,143.17,148.56,5.39,22,185,123.6,38.87,24.0,player history with empirical shrinkage,0.0,187.0,19.0,124.0,,True,False,,,22.2
Drew Stevens,WAS,K,drewstevens,145.11,150.5,140.2,140.2,150.5,10.3,23,190,120.6,38.85,0.0,2024-2025 NFL league average,0.0,189.0,21.0,121.0,,True,False,,,24.11
Joey Slye,TEN,K,joeyslye,141.45,150.16,133.54,133.54,150.16,16.62,24,196,113.9,40.06,54.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Riley Patterson,MIA,K,rileypatterson,141.41,154.92,130.95,130.95,154.92,23.97,25,197,114.7,39.5,31.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Jake Elliott,PHI,K,jakeelliott,139.49,144.23,135.03,135.03,144.23,9.2,26,201,119.8,37.61,48.0,player history with empirical shrinkage,0.0,190.0,22.0,120.0,,True,False,,,19.49
Andy Borregales,NE,K,andyborregales,136.59,137.32,135.12,135.12,137.32,2.2,27,205,119.4,36.66,27.0,player history with empirical shrinkage,0.0,191.0,23.0,119.0,,True,False,,,17.59
Chad Ryland,ARI,K,chadryland,134.97,145.21,127.34,127.34,145.21,17.87,28,207,111.7,38.79,53.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Ryan Fitzgerald,CAR,K,ryanfitzgerald,128.56,138.78,120.25,120.25,138.78,18.54,29,218,107.9,38.1,24.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Matt Gay,LV,K,mattgay,127.9,141.03,114.28,114.28,141.03,26.75,30,219,107.6,37.9,48.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Andre Szmyt,CLE,K,andreszmyt,123.12,139.54,113.15,113.15,139.54,26.39,31,233,102.2,38.54,24.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Dominic Zvada,NYG,K,dominiczvada,92.91,149.52,36.2,36.2,149.52,113.33,32,274,76.7,38.85,0.0,2024-2025 NFL league average,0.0,,,,,False,False,,,
Ben Sauls,NYG,K,bensauls,67.11,117.81,0.0,0.0,117.81,117.81,33,309,58.5,35.7,8.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Cade York,NYJ,K,cadeyork,43.55,87.1,0.0,0.0,87.1,87.1,34,365,36.0,36.29,9.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Spencer Shrader,IND,K,spencershrader,0.0,0.0,0.0,0.0,0.0,0.0,35,548,0.0,36.13,18.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
Tanner Brown,NO,K,tannerbrown,0.0,0.0,0.0,0.0,0.0,0.0,35,548,0.0,38.85,0.0,2024-2025 NFL league average,0.0,,,,,False,False,,,
Zane Gonzalez,MIA,K,zanegonzalez,0.0,0.0,0.0,0.0,0.0,0.0,35,548,0.0,42.78,24.0,player history with empirical shrinkage,0.0,,,,,False,False,,,
